iter	RMSE
229	47324.15184
230	47288.79539
231	47244.15539
232	47215.50896
233	47176.75335
234	47149.27054
235	47109.38101
236	47089.45739
237	47057.25008
238	47033.11229
239	46997.15284
240	46963.21089
241	46932.16637
242	46912.08052
243	46892.40114
244	46861.5504
245	46832.51159
246	46804.55143
247	46775.1707
248	46744.95326
249	46706.29812
250	46650.59916
251	46618.1533
252	46586.87755
253	46551.47401
254	46530.72894
255	46516.22295
256	46466.31577
257	46436.35861
258	46411.38028
259	46384.35593
260	46355.42772
261	46334.49202
262	46316.10315
263	46284.05387
264	46264.02032
265	46241.903
266	46218.49964
267	46185.32833
268	46162.66153
269	46135.65217
270	46110.94454
271	46079.17552
272	46059.91639
273	46022.24294
274	45990.49409
275	45960.17286
276	45944.95445
277	45922.46
278	45895.58341
279	45867.194
280	45836.70903
281	45814.06423
282	45775.98468
283	45742.05136
284	45717.97733
285	45692.9983
286	45662.22372
287	45634.86928
288	45611.1574
289	45591.45647
290	45566.69378
291	45539.63173
292	45506.50862
293	45468.12115
294	45434.61486
295	45401.32228
296	45379.99515
297	45361.97619
298	45347.68176
299	45318.86208
300	45304.22022
301	45288.40378
302	45268.08514
303	45243.23025
304	45213.24891
305	45199.07791
306	45168.95158
307	45153.01628
308	45137.02969
309	45112.41482
310	45092.5644
311	45069.04773
312	45048.54583
313	45027.53968
314	45004.09603
315	44994.38127
316	44969.40102
317	44944.45316
318	44928.3708
319	44891.2819
320	44865.76552
321	44841.80115
322	44821.717
323	44804.57338
324	44779.26425
325	44761.56977
326	44744.92987
327	44717.97033
328	44697.13865
329	44679.51049
330	44654.74707
331	44636.77648
332	44619.03394
333	44605.18935
334	44585.71011
335	44568.85457
336	44552.17497
337	44532.98072
338	44516.17664
339	44492.09311
340	44478.55907
341	44450.27644
342	44430.22845
343	44410.48839
344	44399.38558
345	44380.39149
346	44358.39299
347	44340.76402
348	44327.56969
349	44308.33911
350	44282.13178
351	44262.48006
352	44252.03432
353	44232.49977
354	44218.94805
355	44192.73713
356	44166.92197
357	44155.29445
358	44137.77248
359	44122.18395
360	44100.0777
361	44081.4472
362	44058.00042
363	44038.43006
364	44022.94617
365	43993.85597
366	43970.85547
367	43944.46095
368	43930.57818
369	43918.94937
370	43898.47741
371	43883.49404
372	43871.44488
373	43841.09298
374	43823.89118
375	43793.46315
376	43784.31726
377	43770.30866
378	43747.35854
379	43729.6815
380	43719.49406
381	43700.24091
382	43680.50442
383	43657.20085
384	43643.7398
385	43622.2356
386	43604.58342
387	43586.05094
388	43575.0698
389	43556.84903
390	43527.07559
391	43503.30494
392	43488.70926
393	43470.20319
394	43456.37792
395	43438.80302
396	43405.50098
397	43392.65571
398	43366.56842
399	43346.28519
400	43333.17133
401	43318.49904
402	43305.75834
403	43288.63197
404	43271.11058
405	43250.55063
406	43238.11362
407	43222.12232
408	43212.04937
409	43195.73977
410	43178.9162
411	43164.62261
412	43145.53391
413	43131.50465
414	43111.1933
415	43099.28496
416	43083.29668
417	43062.35465
418	43042.04247
419	43032.74162
420	43018.25045
421	43002.40738
422	42992.64155
423	42977.08599
424	42958.98521
425	42941.33813
426	42917.49858
427	42893.57736
428	42881.61892
429	42860.15026
430	42848.37664
431	42827.58126
432	42812.33078
433	42807.08307
434	42789.77998
435	42774.56176
436	42752.12882
437	42736.00531
438	42713.71851
439	42702.01476
440	42687.32638
441	42676.05878
442	42661.3563
443	42644.87493
444	42623.53704
445	42611.1999
446	42579.84018
447	42556.03343
448	42543.37707
449	42528.44775
450	42506.67842
451	42494.73668
452	42482.62278
453	42474.64428
454	42455.44871
455	42442.39421
456	42425.96787
457	42410.85369
458	42399.4104
459	42378.78295
460	42364.50354
461	42346.91801
462	42323.5392
463	42306.42632
464	42277.01034
465	42258.61225
466	42242.73668
467	42229.67939
468	42215.37974
469	42196.19112
470	42171.84135
471	42154.27491
472	42140.8586
473	42130.29433
474	42118.77683
475	42100.82621
476	42090.17682
477	42081.27943
478	42072.38655
479	42062.77821
480	42042.2697
481	42036.39493
482	42029.58048
483	42017.31968
484	42000.03628
485	41983.08397
486	41970.79826
487	41958.23276
488	41940.31313
489	41920.93584
490	41906.10249
491	41895.99315
492	41880.26021
493	41852.69331
494	41841.76368
495	41827.14576
496	41813.47462
497	41798.15057
498	41789.34422
499	41773.96529
500	41761.38678
501	41739.38777
502	41722.20302
503	41704.42677
504	41689.03522
505	41679.53907
506	41659.43156
507	41637.91188
508	41628.58849
509	41618.34333
510	41602.83894
511	41591.2437
512	41575.00015
513	41558.5268
514	41537.35305
515	41523.77888
516	41508.0381
517	41500.76241
518	41475.34541
519	41466.544
520	41458.9932
521	41445.98315
522	41431.43629
523	41410.90795
524	41399.95799
525	41388.54994
526	41379.40126
527	41365.93414
528	41355.09349
529	41342.01854
530	41333.61002
531	41313.42277
532	41298.42305
533	41281.7842
534	41271.88641
535	41261.48695
536	41250.6114
537	41241.9826
538	41229.68049
539	41217.39514
540	41199.52149
541	41183.54949
542	41173.56526
543	41161.00577
544	41156.53982
545	41137.20972
546	41125.8269
547	41112.34722
548	41093.28652
549	41084.3837
550	41075.22237
551	41056.95521
552	41046.97004
553	41034.62443
554	41024.2876
555	41010.25208
556	41002.13375
557	40989.60659
558	40966.91875
559	40944.99151
560	40927.91733
561	40915.43947
562	40900.93657
563	40879.8515
564	40862.7528
565	40846.05693
566	40833.22569
567	40818.16446
568	40812.13364
569	40794.69528
570	40784.90064
571	40770.04814
572	40755.45775
573	40743.60965
574	40731.66509
575	40724.20578
576	40713.13337
577	40702.86924
578	40690.76753
579	40680.5287
580	40666.47152
581	40649.66552
582	40627.10827
583	40618.30273
584	40608.66815
585	40585.35307
586	40568.59424
587	40556.93254
588	40541.94524
589	40530.6664
590	40512.2136
591	40500.34332
592	40486.77162
593	40474.91344
594	40463.78528
595	40448.25758
596	40432.03968
597	40417.31925
598	40404.34309
599	40384.43991
600	40375.94553
601	40363.87407
602	40354.55611
603	40344.61939
604	40336.72281
605	40318.04114
606	40307.00041
607	40296.65822
608	40281.29385
609	40257.83926
610	40242.93856
611	40235.90508
612	40225.91221
613	40212.43651
614	40198.73304
615	40187.75665
616	40171.18899
617	40161.96575
618	40144.53763
619	40139.01003
620	40131.71706
621	40115.67663
622	40102.9071
623	40082.37057
624	40062.89915
625	40051.14496
626	40041.06718
627	40025.26164
628	40017.84646
629	40005.54966
630	39990.50888
631	39984.97277
632	39974.5422
633	39957.40881
634	39946.22466
635	39933.11665
636	39920.39368
637	39902.88619
638	39887.28256
639	39877.61303
640	39869.48881
641	39849.73761
642	39832.8888
643	39823.10521
644	39802.66807
645	39794.22769
646	39784.8137
647	39773.31815
648	39768.87464
649	39753.81336
650	39747.17229
651	39737.92351
652	39727.95923
653	39719.06069
654	39701.54301
655	39690.21343
656	39685.34593
657	39675.01573
658	39663.53219
659	39654.08192
660	39631.94407
661	39619.34043
662	39606.34665
663	39596.66165
664	39582.21541
665	39571.87571
666	39558.55108
667	39548.30936
668	39541.89766
669	39530.93411
670	39522.23259
671	39513.01604
672	39497.26532
673	39487.02137
674	39478.2646
675	39466.51498
676	39451.5757
677	39440.44507
678	39425.97129
679	39409.87414
680	39393.5207
681	39383.80741
682	39375.44054
683	39363.12286
684	39355.29901
685	39338.13167
686	39325.97629
687	39309.6697
688	39298.90762
689	39291.78727
690	39279.3481
691	39274.09577
692	39258.00338
693	39249.25887
694	39236.51123
695	39224.52331
696	39212.10566
697	39197.21884
698	39187.81746
699	39173.16292
700	39161.81529
701	39155.29432
702	39144.64609
703	39136.83158
704	39129.63719
705	39121.34813
706	39108.77274
707	39095.35511
708	39088.73344
709	39079.37229
710	39061.26778
711	39051.22978
712	39042.64887
713	39028.59493
714	39017.41387
715	39005.09039
716	38997.22481
717	38979.51287
718	38965.48635
719	38951.15706
720	38941.69263
721	38924.98005
722	38914.07415
723	38901.00687
724	38886.07407
725	38874.62473
726	38867.16847
727	38852.20051
728	38842.86242
729	38827.14437
730	38811.17454
731	38803.44209
732	38791.76963
733	38781.91858
734	38773.71051
735	38764.51259
736	38757.60615
737	38746.77741
738	38733.37377
739	38724.5031
740	38716.2785
741	38709.37622
742	38696.3368
743	38688.03583
744	38680.20493
745	38664.85869
746	38646.18348
747	38634.46428
748	38622.50246
749	38612.30606
750	38598.48936
751	38588.43834
752	38580.86119
753	38569.00066
754	38556.82445
755	38539.1473
756	38530.19727
757	38522.70339
758	38510.20636
759	38493.62226
760	38484.8212
761	38475.15362
762	38460.66559
763	38441.47602
764	38432.73976
765	38417.39992
766	38408.58869
767	38394.90782
768	38384.18211
769	38370.93457
770	38363.79478
771	38347.76808
772	38339.28323
773	38328.76997
774	38323.38434
775	38315.08978
776	38300.12841
777	38286.39259
778	38279.01782
779	38271.19078
780	38263.12236
781	38255.0606
782	38242.45928
783	38232.39252
784	38224.38111
785	38216.89712
786	38199.30335
787	38188.9106
788	38182.71003
789	38177.23008
790	38166.99242
791	38157.16727
792	38150.84212
793	38136.02095
794	38128.25927
795	38118.71647
796	38111.63013
797	38096.79349
798	38089.20819
799	38082.77743
800	38071.46918
801	38065.71642
802	38056.36917
803	38042.42182
804	38032.80913
805	38025.37874
806	38013.18875
807	38003.62794
808	37997.43349
809	37984.35043
810	37975.85888
811	37968.30297
812	37959.76386
813	37948.60358
814	37940.06246
815	37925.84302
816	37915.20812
817	37906.68719
818	37895.60472
819	37889.79292
820	37881.48403
821	37874.1227
822	37861.22091
823	37845.70418
824	37839.53689
825	37825.2726
826	37813.44243
827	37804.10848
828	37791.69938
829	37778.22376
830	37771.72403
831	37756.58911
832	37749.85156
833	37741.52031
834	37733.91446
835	37727.25704
836	37715.21066
837	37708.62793
838	37694.21545
839	37682.61387
840	37673.54377
841	37666.28906
842	37658.96965
843	37649.25647
844	37644.17602
845	37630.74839
846	37621.42877
847	37611.66906
848	37603.20083
849	37597.31827
850	37577.91109
851	37564.13669
852	37558.89255
853	37549.59885
854	37538.64429
855	37530.72345
856	37518.43224
857	37511.77493
858	37497.95563
859	37488.22043
860	37479.96075
861	37467.29124
862	37461.42718
863	37450.6292
864	37438.71705
865	37430.22624
866	37423.28895
867	37413.286
868	37404.86325
869	37396.42842
870	37386.13909
871	37376.65695
872	37365.95623
873	37357.48017
874	37352.61917
875	37342.52129
876	37328.63671
877	37319.66717
878	37310.66892
879	37301.07908
880	37292.20237
881	37283.61366
882	37276.72051
883	37266.45536
884	37258.47293
885	37252.5494
886	37244.89037
887	37237.81962
888	37233.11286
889	37227.07706
890	37218.79705
891	37211.8621
892	37204.79699
893	37195.7934
894	37185.84635
895	37178.54029
896	37170.98784
897	37162.69197
898	37151.3408
899	37142.38431
900	37135.65357
901	37130.84335
902	37122.95104
903	37116.28433
904	37104.27273
905	37095.4721
906	37079.244
907	37073.13359
908	37066.63609
909	37055.67807
910	37048.43484
911	37035.19171
912	37025.46988
913	37017.70543
914	37008.71712
915	37003.33016
916	36998.42162
917	36990.37194
918	36980.71241
919	36974.39897
920	36967.33567
921	36958.74674
922	36953.44213
923	36943.80998
924	36939.97388
925	36925.07684
926	36917.65673
927	36911.4712
928	36904.23359
929	36896.49003
930	36882.5387
931	36874.03349
932	36865.52752
933	36852.68674
934	36841.18614
935	36834.77895
936	36827.67253
937	36820.19021
938	36808.74054
939	36798.17421
940	36780.99287
941	36772.47985
942	36752.33748
943	36742.92096
944	36732.58968
945	36724.7989
946	36709.2209
947	36700.15768
948	36682.00089
949	36673.13001
950	36668.20793
951	36656.23893
952	36648.18102
953	36637.01469
954	36619.47374
955	36612.75091
956	36603.13087
957	36595.67478
958	36586.26175
959	36568.7414
960	36560.28533
961	36550.97566
962	36542.46048
963	36539.51435
964	36525.17213
965	36518.88175
966	36505.98954
967	36495.38073
968	36486.75227
969	36475.84311
970	36469.78289
971	36464.44558
972	36453.79339
973	36446.0506
974	36437.06244
975	36425.75595
976	36418.01009
977	36410.97367
978	36400.71654
979	36393.50705
980	36379.38694
981	36363.70467
982	36356.08543
983	36346.4958
984	36335.06183
985	36326.66283
986	36317.02875
987	36308.96169
988	36301.36649
989	36294.95243
990	36285.4472
991	36280.31642
992	36270.64907
993	36265.1964
994	36257.09371
995	36253.27348
996	36247.28939
997	36240.87033
998	36233.70386
999	36227.50289
